Jurisdiction,Publication Date,Publication Year,Application Number,Title,Abstract,Applicants,Inventors,Owners,Document_type,CPC_classification,IPCR Classifications,legal_status
US,1/19/2017,2017,US 201514802389 A,Agricultural Crop Analysis Drone,"A method and system utilizing one or more agricultural drones in combination with agricultural equipment, e.g., an agricultural boom sprayer, to evaluate the crops being farmed, and to improve the real-time delivery and dispensing of liquid from the sprayer including monitoring and verifying that the liquid is being dispensed correctly and/or in accordance with a desired distribution pattern or level.",TOPCON POSITIONING SYSTEMS INC,O'CONNOR RAYMOND M;;DI FEDERICO IVAN GIOVANNI,TOPCON POSITIONING SYSTEMS INC (2015-07-14),Patent Application,A01B79/005;;A01M7/0089;;B64C39/024;;A01C23/047;;G05D1/0088;;G05D1/104;;A01B79/005;;A01M7/0089;;B64U10/10;;B64U30/20;;B64U2101/30;;B64U2201/10,B64C39/02;;A01C23/04;;G05D1/00;;G05D1/10,ACTIVE,,,,
US,11/23/2017,2017,US 201715658968 A,Agricultural Crop Analysis Drone,"A method and system utilizing one or more agricultural drones in combination with agricultural equipment, e.g., an agricultural boom sprayer, to evaluate the crops being farmed, and to improve the real-time delivery and dispensing of liquid from the sprayer including monitoring and verifying that the liquid is being dispensed correctly and/or in accordance with a desired distribution pattern or level.",TOPCON POSITIONING SYSTEMS INC;;TOPCON POSITIONING SYSTEM INC,O'CONNOR RAYMOND M;;DI FEDERICO IVAN GIOVANNI,TOPCON POSITIONING SYSTEMS INC (2015-07-14),Patent Application,A01B79/005;;A01M7/0089;;B64C39/024;;A01C23/047;;G05D1/0088;;G05D1/104;;A01B79/005;;A01M7/0089;;B64U10/10;;B64U30/20;;B64U2101/30;;B64U2201/10,B64C39/02;;A01B79/00;;A01C23/04;;G05D1/00;;G05D1/10,ACTIVE,,,,
US,8/15/2017,2017,US 201715450476 A,Systems and methods for detecting soil characteristics,"A soil detection and planting apparatus. The apparatus includes a vehicle and a controller coupled to the vehicle. The apparatus further includes a planting device coupled to the vehicle, the planting device configured to plant seeds or plants into a soil material. The apparatus includes a ground penetrating radar sensor coupled to the vehicle. The ground penetrating radar soil sensor is configured to scan the soil material up to a designated depth beneath a surface of the soil material, wherein the ground penetrating radar soil sensor is further configured to provide a sensor feedback signal to the controller with respect to an intrinsic characteristic of the soil material. The controller is configured to instruct placement of a seed or a plant into the soil material based on the feedback signal.",ELWHA LLC,CHAN ALISTAIR K;;DUNCAN WILLIAM D;;HYDE RODERICK A;;WOOD JR LOWELL L,,Granted Patent,A01B69/00;;A01B79/005;;A01B79/005;;A01C7/085;;A01C7/102;;A01C21/005;;A01C21/005;;A01C23/04;;A01G25/167;;B64D1/18;;B64D43/00;;G01S13/89;;G01S13/89;;G01S7/412;;G01S7/412;;G01S13/885;;G01S13/885;;G01S13/887;;G01S13/888;;G01S15/89,G01S13/89;;A01B69/00;;A01C7/08;;A01C7/10;;A01C23/04;;A01G25/16;;B64D1/18;;B64D43/00;;G01S13/88;;G01S15/89,INACTIVE,,,,
US,11/3/2015,2015,US 201314043741 A,GNSS optimized control system and method,"A GNSS system in combination with a hydraulically-actuated, airborne dispenser for a dry material crop dusting system to optimize the distribution of dry materials over a particular tract of land. A GNSS subsystem is included using at least one GNSS antenna and one GNSS receiver located on the aircraft. The aircraft is equipped with an electronic/hydraulic crop dusting subsystem connected to a GNSS CPU. The GNSS ranging signals received by the antennas are processed by a receiver and processor system for determining the vehicle's position and dynamic attitude in three dimensions (3D). The system is adapted for operation in a differential GNSS (DGNSS) mode utilizing a base station at a fixed location.",AGJUNCTION LLC;;EFC SYSTEMS INC,GUYETTE GREG S;;DEARBORN JEFFREY ALLEN,AGJUNCTION LLC (2015-04-07);;EFC SYSTEMS INC (2015-05-27),Granted Patent,A01B79/005;;A01B79/005;;G01S19/14;;G01S19/14;;G01S19/42;;G01S19/54;;G01S19/54;;G05D1/0202;;G05D1/0202,B05B12/00;;A01B79/00;;G01S19/14;;G01S19/42;;G01S19/54;;G05D1/02,ACTIVE,,,,
US,7/28/2020,2020,US 201916258618 A,Monitoring and control implement for crop improvement,"An example machinery includes an automated crop management motorized vehicle having an intelligent, modularized image sensor (e.g. camera or video) system that is portable to other crop management vehicles such as a combine, planter or a tillage machine. The image sensor system includes a framework having a bank of procedures for monitoring and control of navigation, spray application, weeding, seeding, machine configuration, in real time as the machines go through a crop field throughout a crop cycle. One example implementation includes electronic circuits, with more than one set mounted on a platform that facilitates moving the setup to other agricultural machines. The framework captures, preserves and corrects the captured images for real time analysis and response, and for spray management to improve crop yield that is correlated with the machine settings and crop management practices.",WU DOLLY Y;;DEUTSCH TIMOTHY A;;DOLLY Y WU PLLC,WU DOLLY Y;;DEUTSCH TIMOTHY A,,Granted Patent,H04N7/188;;G06T7/0004;;G06T7/73;;G06T2207/10021;;G06T2207/10028;;G06T2207/30188;;A01M7/0089;;H04N23/51;;A01C21/007;;A01C21/005;;B60R11/04;;H04N7/181;;H04N7/188;;H04N23/51,A01C21/00;;B60R11/04;;H04N5/225;;H04N7/18,ACTIVE,,,,
US,1/1/2019,2019,US 201615281867 A,Controlling ground engaging elements based on images,"An agricultural machine has a communication component configured to receive a first data set and a second data set. The first and second data sets comprise indications of a soil parameter of a worksite. The first data set is captured at an earlier time than the second data set. The agricultural machine also has a controller configured to receive the first and second data sets and, based on the first and second data sets, generate a map of the worksite. The agricultural machine also has a controllable subsystem configured to receive a control signal from the controller. The control signal is generated based on both a position of the agricultural machine within the worksite and the generated map. The control signal is configured to control operator of the controllable subsystem.",DEERE & CO,SUGUMARAN RAMANATHAN;;ANDERSON NOEL W,DEERE & COMPANY (2016-09-30),Granted Patent,A01B79/005;;A01C14/00;;A01B79/005;;G01C21/3461;;B64C39/024;;G01C21/3676;;A01C21/007;;B64U2101/20;;B64U2101/30;;G05D1/0214;;G05D1/0274;;G05D2201/0201;;A01C21/00;;G01C21/3461;;A01B79/005;;B64U2101/20;;B64U2101/30;;A01C14/00;;A01C21/005;;A01C23/007;;B64C39/024;;G01C21/3676;;G05D1/0219;;G05D1/0246;;G05D1/0276,A01C21/00;;A01C14/00;;A01C23/00;;B64C39/02;;G01C21/36;;G05D1/02,ACTIVE,,,,
US,2/8/2018,2018,US 201615230364 A,"Smart Interactive and Autonomous Robotic Property Maintenance Apparatus, System, and Method","The present invention relates to an intelligent interactive apparatus, system and method that aligns with property trimming and cutting tools such as pole saws, lawnmowers or unmanned aerial drones. More particularly, the present invention relates to a pole saw or autonomous lawnmower with attached functional accessories such as autonomously operated line trimmer or lawn edging devices operating on a 360 degree axis obtaining power and motion on a electro magnetic levitation system and having an attached imaging apparatus assembly that is linked to a display output device allowing for more intelligent and consistent tree, grass, and hedge views and overall control. The tree trimming imaging apparatus assembly of the present invention allows for an intelligent interactive system wherein the method used makes a user capable of a more accurate and safe tree, hedge, or property trimming experience. The present invention's system is linked by superimposed design overlays giving augmented reality guidance, and an interactive imaging apparatus for an improved viewing method. The imaging device enables a more accurate tree, hedge or property grass trimming experience using an imaging and proximity sensors, and laser guided focal area that intelligently follows a grid mapping axis process using artificial intelligence algorithm and defect predictive analytics engine to reduce property maintenance trimming errors, safety risks, and difficulty.",BURDOUCCI ROMELLO,BURDOUCCI ROMELLO,,Patent Application,E04D13/0765;;A01G3/085;;A01B69/008;;G05D1/0094;;G05D2201/0208;;A01D34/008;;A01D34/84;;A01D43/14;;B64C39/024;;H04N23/632;;B64U10/13;;B64U2201/10;;B64U30/20;;B64U2101/00;;B64U2201/20;;A01D34/008;;A01D34/84;;A01D43/14;;B64C39/024;;A01G3/085;;E04D13/0765;;A01B69/008;;G05D2201/0208;;G05D1/0094;;H04N23/632;;B64U10/13;;B64U30/20;;B64U2101/00;;B64U2201/10;;B64U2201/20,A01D34/00;;A01D34/84;;A01D43/14;;B08B1/00;;B08B1/04;;B08B3/02;;B08B3/04;;B25J9/16;;B64C39/02;;G05D1/02;;H04N5/232,DISCONTINUED,,,,
US,11/23/2021,2021,US 201916555267 A,Subfield moisture model improvement using overland flow modeling with shallow water computations,"Subfield moisture model improvement in generating overland flow modeling using shallow water calculations and kinematic wave calculations is disclosed. In an embodiment, a computer-implemented data processing method comprises: receiving precipitation data and infiltration data for an agricultural field; obtaining surface water depth data, surface water velocity data, and surface water discharge data for the same agricultural field; determining subfield geometry data for the agricultural field; executing a plurality of water calculations and wave calculations using the subfield geometry data to generate an overland flow model that includes moisture levels for the agricultural field; based on, at least in part, the overland flow model, generating and causing displaying a visual graphical image of the agricultural field comprising a plurality of color pixels having color values corresponding to the moisture levels determined for the agricultural field. Output of the overland flow model is provided to control computers of seeders, planters, fertilizer spreaders, harvesters, or combines to control seeding, planting, fertilizing or irrigation activities in the field.",CLIMATE CORP,NIZAMI ASRA;;HOLT JENNIFER;;EWING ROBERT;;DE GRYZE STEVEN;;GATES JOHN;;SANGIREDDY HARISH;;BURDICK JOHN BROWNING;;BYRNS MICHAEL S,CLIMATE LLC (2019-09-09),Granted Patent,A01B79/005;;A01C21/007;;A01G25/16;;G05B2219/2625;;G05B15/02;;G06Q50/02;;G06Q10/06;;G05B19/042;;G06T11/001;;A01C21/005;;G05B2219/2625;;A01B79/005;;A01D75/00;;A01G25/16;;G06F30/20;;G06F2111/10,G05B19/042;;A01B79/00;;A01C21/00;;A01D75/00;;A01G25/16;;G06F30/20;;G06F111/10;;G06T11/00,ACTIVE,,,,
US,9/5/2006,2006,US 70994504 A,Method and system for spatially variable rate application of agricultural chemicals based on remotely sensed vegetation data,"Remotely sensed spectral image data are used to develop a Vegetation Index file which represents spatial variations of actual crop vigor throughout an area that is under cultivation. The latter information is processed to place it in a format that can be used by personnel to correlate and calibrate it with actually observed crop conditions existing at control points within the area. Based on the results, personnel formulate a prescription request, which is forwarded to a central processing site, where the prescription is prepared. The latter is returned to a mobile application means that directly applies inputs to the field at a spatially variable rate.",INTIME INC,SEAL MICHAEL R;;HOOD KENNETH BROWN;;LEWIS MARK DAVID;;JOHNSON JAMES WILLIAM;;JACKSON PATRICK;;PETERSON MATTHEW;;DUPONT KELLY;;VAN RIESSEN HENDRICK,INTIME INC (2005-01-10),Granted Patent,A01B79/005;;A01B79/005,G05D11/02;;A01B79/00,EXPIRED,,,,
US,6/22/2017,2017,US 201715450476 A,SYSTEMS AND METHODS FOR DETECTING SOIL CHARACTERISTICS,"A soil detection and planting apparatus. The apparatus includes a vehicle and a controller coupled to the vehicle. The apparatus further includes a planting device coupled to the vehicle, the planting device configured to plant seeds or plants into a soil material. The apparatus includes a ground penetrating radar sensor coupled to the vehicle. The ground penetrating radar soil sensor is configured to scan the soil material up to a designated depth beneath a surface of the soil material, wherein the ground penetrating radar soil sensor is further configured to provide a sensor feedback signal to the controller with respect to an intrinsic characteristic of the soil material. The controller is configured to instruct placement of a seed or a plant into the soil material based on the feedback signal.",ELWHA LLC,CHAN ALISTAIR K;;DUNCAN WILLIAM D;;HYDE RODERICK A;;WOOD JR LOWELL L,,Patent Application,A01B69/00;;A01B79/005;;A01B79/005;;A01C7/085;;A01C7/102;;A01C21/005;;A01C21/005;;A01C23/04;;A01G25/167;;B64D1/18;;B64D43/00;;G01S13/89;;G01S13/89;;G01S7/412;;G01S7/412;;G01S13/885;;G01S13/885;;G01S13/887;;G01S13/888;;G01S15/89,G01S13/89;;A01B69/00;;A01C7/08;;A01C7/10;;A01C23/04;;A01G25/16;;B64D1/18;;B64D43/00;;G01S13/88;;G01S15/89,INACTIVE,,,,
US,5/6/2021,2021,US 202017112372 A,CONTROL TOWER AND ENTERPRISE MANAGEMENT PLATFORM WITH UNIFIED SET OF ROBOTIC PROCESS AUTOMATION SYSTEMS FOR COORDINATED AUTOMATION AMONG VALUE CHAIN APPLICATIONS,"An information technology system generally including a cloud-based management platform with a micro-services architecture having a unified set of robotic process automation systems that provide coordinated automation among at least two types of applications from among a set of demand management applications, a set of supply chain applications, a set of intelligent product applications, and a set of enterprise resource management applications for a category of goods with respect to the value chain network entities of the platform.",STRONG FORCE VCN PORTFOLIO 2019 LLC,CELLA CHARLES HOWARD;;SPITZ RICHARD;;EL-TAHRY TEYMOUR S,,Patent Application,G06Q10/0834;;G06Q10/0635;;G06Q10/0637;;G06Q10/087;;G06Q30/0635;;H04L9/3239;;H04L2209/56;;G05B2219/31229;;Y02P90/90;;G06N20/20;;G06N5/025;;G06N3/126;;G06N20/10;;G06N3/088;;G06N3/006;;G06N5/022;;G06N3/084;;G06N3/049;;G06N5/04;;H04L9/50;;G06N5/01;;G06N3/047;;G06N7/01;;G06N3/044;;G06N3/045;;G06Q10/087;;G06N5/04;;G06N20/00;;G06Q10/0635;;G06Q10/0637;;G06Q10/0834;;G06Q30/0635;;H04L9/3236;;G05B19/042;;G05B2219/31229;;H04L9/50,G06Q10/06;;G06N20/00;;G06Q10/08;;G06Q30/06,PENDING,,,,
US,5/10/2018,2018,US 201715793840 A,"WORK LAYER IMAGING AND ANALYSIS FOR IMPLEMENT MONITORING, CONTROL AND OPERATOR FEEDBACK",A soil imaging system having a work layer sensor disposed on an agricultural implement to generate an electromagnetic field through a soil area of interest as the agricultural implement traverses a field. A monitor in communication with the work layer sensor is adapted to generate a work layer image of the soil layer of interest based on the generated electromagnetic field. The work layer sensor may also generate a reference image by generating an electromagnetic field through undisturbed soil. The monitor may compare at least one characteristic of the reference image with at least one characteristic of the work layer image to generate a characterized image of the work layer of interest. The monitor may display operator feedback and may affect operational control of the agricultural implement based on the characterized image.,CLIMATE CORP,KOCH DALE;;TRAVIS DEXTER;;SWANSON TODD;;SLONEKER DILLON,CLIMATE LLC (2017-02-01),Patent Application,G01S13/885;;A01C7/105;;A01C7/203;;A01C7/205;;A01C5/066;;A01C5/068;;A01C7/006;;A01B79/005;;G01V3/12;;G01S13/885;;A01C7/203;;A01C7/105;;A01C7/205;;A01C5/068;;A01C7/006;;A01C5/066;;A01B79/005;;G01S13/02;;G01V3/12,G01V3/12;;A01B79/00;;G01S13/02,ACTIVE,,,,
US,7/7/2005,2005,US 70994504 A,[METHOD AND SYSTEM FOR SPATIALLY VARIABLE RATE APPLICATION OF AGRICULTURAL CHEMICALS BASED ON REMOTELY SENSED VEGETATION DATA],"Remotely sensed spectral image data are used to develop a Vegetation Index file which represents spatial variations of actual crop vigor throughout an area that is under cultivation. The latter information is processed to place it in a format that can be used by personnel to correlate and calibrate it with actually observed crop conditions existing at control points within the area. Based on the results, personnel formulate a prescription request, which is forwarded to a central processing site, where the prescription is prepared. The latter is returned to a mobile application means that directly applies inputs to the field at a spatially variable rate.",SEAL MICHAEL R.;;HOOD KENNETH B.;;LEWIS MARK D.;;JOHNSON JAMES W.;;JACKSON PATRICK;;PETERSON MATTHEW;;DUPONT KELLY;;RIESSEN HENDRICK V.,SEAL MICHAEL R;;HOOD KENNETH B;;LEWIS MARK D;;JOHNSON JAMES W;;JACKSON PATRICK;;PETERSON MATTHEW;;DUPONT KELLY;;RIESSEN HENDRICK V,INTIME INC (2005-01-10),Patent Application,A01B79/005;;A01B79/005,A01B79/00,EXPIRED,,,,
WO,5/11/2018,2018,US 2017/0058332 W,"WORK LAYER IMAGING AND ANALYSIS FOR IMPLEMENT MONITORING, CONTROL AND OPERATOR FEEDBACK",A soil imaging system having a work layer sensor disposed on an agricultural implement to generate an electromagnetic field through a soil area of interest as the agricultural implement traverses a field. A monitor in communication with the work layer sensor is adapted to generate a work layer image of the soil layer of interest based on the generated electromagnetic field. The work layer sensor may also generate a reference image by generating an electromagnetic field through undisturbed soil. The monitor may compare at least one characteristic of the reference image with at least one characteristic of the work layer image to generate a characterized image of the work layer of interest. The monitor may display operator feedback and may affect operational control of the agricultural implement based on the characterized image.,CLIMATE CORP,KOCH DALE;;TRAVIS DEXTER;;SWANSON TODD;;SLONEKER DILLON,,Patent Application,G01S13/885;;A01C7/105;;A01C7/203;;A01C7/205;;A01C5/066;;A01C5/068;;A01C7/006;;A01B79/005;;G01V3/12;;G01S13/885;;A01C7/203;;A01C7/105;;A01C7/205;;A01C5/068;;A01C7/006;;A01C5/066;;A01B79/005;;G01S13/02;;G01V3/12,A01B79/00;;A01B79/02;;G01N33/24;;G01V99/00,PENDING,,,,
US,2/18/2021,2021,US 201916540029 A,METHOD AND SYSTEM OF ANTENNA MEASUREMENT FOR MOBILE COMMUNICATION BASE STATION,"A method and system for mobile communication base station antenna measurement is disclosed. The method comprises steps of: acquiring a set of images containing antennas of a base station; processing the set of images with a model based on instance segmentation network, and generating visualized images corresponding to the set of images of antennas; calculating, from the visualized images, the quantity of antennas of the base station and separating data for each antenna; measuring parameters of each antenna by data fitting. The system comprises a processor and a memory storing program instructions thereon, the program instructions executable by the processor to cause the system to perform the steps of the method.",UNIV WUYI,ZHAI YIKUI;;KE QIRUI;;GAN JUNYING;;DENG WENBO;;XU YING;;ZENG JUNYING;;YING ZILU;;ZHOU WENLUE;;ZHI YIHANG;;WU XI,WUYI UNIVERSITY (2019-08-01),Patent Application,G06T7/11;;G06T7/73;;G06T2207/10032;;G06T2207/20081;;G06T2207/20084;;G06T2207/30184;;G06V20/176;;G06V10/26;;G06V10/25;;G06V20/17;;G06V10/82;;G06V10/764;;G06T7/60;;G06T7/136;;G06T2207/30242;;G06T2207/10032;;G06T2207/20081;;G06T2207/10016;;G06F18/214;;G06V10/25;;G06T7/11;;G06V10/764;;G06V10/82;;G06V10/26;;G06V20/17;;G06V20/176,G06T7/60;;G06K9/62;;G06T7/136,ACTIVE,,,,
US,4/5/2018,2018,US 201615281867 A,CONTROLLING GROUND ENGAGING ELEMENTS BASED ON IMAGES,"An agricultural machine has a communication component configured to receive a first data set and a second data set. The first and second data sets comprise indications of a soil parameter of a worksite. The first data set is captured at an earlier time than the second data set. The agricultural machine also has a controller configured to receive the first and second data sets and, based on the first and second data sets, generate a map of the worksite. The agricultural machine also has a controllable subsystem configured to receive a control signal from the controller. The control signal is generated based on both a position of the agricultural machine within the worksite and the generated map. The control signal is configured to control operator of the controllable subsystem.",DEERE & CO,SUGUMARAN RAMANATHAN;;ANDERSON NOEL W,DEERE & COMPANY (2016-09-30),Patent Application,A01B79/005;;A01C14/00;;A01B79/005;;G01C21/3461;;B64C39/024;;G01C21/3676;;A01C21/007;;B64U2101/20;;B64U2101/30;;G05D1/0214;;G05D1/0274;;G05D2201/0201;;A01C21/00;;G01C21/3461;;A01B79/005;;B64U2101/20;;B64U2101/30;;A01C14/00;;A01C21/005;;A01C23/007;;B64C39/024;;G01C21/3676;;G05D1/0219;;G05D1/0246;;G05D1/0276,A01C14/00;;A01C21/00;;A01C23/00;;G01C21/36;;G05D1/02,ACTIVE,,,,
US,10/12/2021,2021,US 201816108002 A,Digital modeling and tracking of agricultural fields for implementing agricultural field trials,"A system for implementing a trial in one or more fields is provided. In an embodiment, a system receives field data for a plurality of agricultural fields, identifies one or more target agricultural fields, and sends, to a field manager computing device associated with the one or more target agricultural fields, a trial participation request. The server receives data indicating acceptance of the trial participation request from the field manager computing device. The server determines one or more locations on the one or more target agricultural fields for implementing a trial and sends data identifying the one or more locations to the field manager computing device. When the system receives application data, the system determines whether the one or more target agricultural fields are in compliance with the trial. The system receives result data for the trial and computes a benefit value for the trial.",CLIMATE CORP,RUFF THOMAS GENE;;BULL JASON KENDRICK;;CIZEK NICHOLAS CHARLES;;RINKENBERGER BRANDON;;SAUDER DOUG,THE CLIMATE CORPORATION (2019-03-19),Granted Patent,G06Q50/02;;G06Q10/06393;;G06N3/126;;G06Q50/02;;G06Q10/06393;;F24F11/49;;A01B69/00;;A01B79/005;;G01N33/24;;Y02A40/10;;G01C11/025;;G06N7/01,G06Q50/02;;A01B69/00;;F24F11/49;;G06N7/00;;G06Q10/06,ACTIVE,,,,
US,4/11/2017,2017,US 201514983105 A,Systems and methods for detecting soil characteristics,"A soil detection and planting apparatus. The apparatus includes a vehicle and a controller coupled to the vehicle. The apparatus further includes a planting device coupled to the vehicle, the planting device configured to plant seeds or plants into a soil material. The apparatus includes a ground penetrating radar sensor coupled to the vehicle. The ground penetrating radar soil sensor is configured to scan the soil material up to a designated depth beneath a surface of the soil material, wherein the ground penetrating radar soil sensor is further configured to provide a sensor feedback signal to the controller with respect to an intrinsic characteristic of the soil material. The controller is configured to instruct placement of a seed or a plant into the soil material based on the feedback signal.",ELWHA LLC,CHAN ALISTAIR K;;DUNCAN WILLIAM D;;HYDE RODERICK A;;WOOD JR LOWELL L,,Granted Patent,A01B69/00;;A01B79/005;;A01B79/005;;A01C7/085;;A01C7/102;;A01C21/005;;A01C21/005;;A01C23/04;;A01G25/167;;B64D1/18;;B64D43/00;;G01S13/89;;G01S13/89;;G01S7/412;;G01S7/412;;G01S13/885;;G01S13/885;;G01S13/887;;G01S13/888;;G01S15/89,G06F19/00;;A01B69/00;;A01B79/00;;A01C21/00;;A01C23/04;;A01G25/16;;G01S7/41;;G01S13/88;;G01S13/89,INACTIVE,,,,
US,4/21/2016,2016,US 201514983105 A,SYSTEMS AND METHODS FOR DETECTING SOIL CHARACTERISTICS,"A soil detection and planting apparatus. The apparatus includes a vehicle and a controller coupled to the vehicle. The apparatus further includes a planting device coupled to the vehicle, the planting device configured to plant seeds or plants into a soil material. The apparatus includes a ground penetrating radar sensor coupled to the vehicle. The ground penetrating radar soil sensor is configured to scan the soil material up to a designated depth beneath a surface of the soil material, wherein the ground penetrating radar soil sensor is further configured to provide a sensor feedback signal to the controller with respect to an intrinsic characteristic of the soil material. The controller is configured to instruct placement of a seed or a plant into the soil material based on the feedback signal.",ELWHA LLC,CHAN ALISTAIR K;;DUNCAN WILLIAM D;;HYDE RODERICK A;;WOOD JR LOWELL L,,Patent Application,A01B69/00;;A01B79/005;;A01B79/005;;A01C7/085;;A01C7/102;;A01C21/005;;A01C21/005;;A01C23/04;;A01G25/167;;B64D1/18;;B64D43/00;;G01S13/89;;G01S13/89;;G01S7/412;;G01S7/412;;G01S13/885;;G01S13/885;;G01S13/887;;G01S13/888;;G01S15/89,G01S13/89;;A01C23/04;;A01G25/16;;G01S13/88,INACTIVE,,,,
US,3/27/2014,2014,US 201213628803 A,"METHODS, APPARATUS AND SYSTEMS FOR DETERMINING STAND POPULATION, STAND CONSISTENCY AND STAND QUALITY IN AN AGRICULTURAL CROP AND ALERTING USERS","A computer-based system for combining data related to stand population, consistency and quality in agricultural crops and dynamically analyzing the data whereby stand determinations based on that analysis during a crop growing season can be made. The system is programmed to alert a user (farmer) or other designated parties when the stand fails to meet user-defined parameters.",SUPERIOR EDGE INC,JOHNSON JEROME D,AGLYTIX INC (2016-07-27);;FI2 SOLUTIONS LLC (2013-11-12);;SUPERIOR EDGE INC (2012-09-25),Patent Application,G06Q50/02;;G06Q30/0205;;G06Q50/02,G06Q30/02;;G06Q10/04,DISCONTINUED,,,,
US,9/15/2020,2020,US 201515534775 A,Automatic target recognition and dispensing system,"An automated apparatus, method and system for projecting a control agent toward a recognised target for the purposes of agricultural cultivation or environmental management or various other applications; a source of the control agent adapted for use in connection with an environmental control function, an outlet incorporating at least one outlet orifice to direct the control agent emanating from the outlet orifice toward a target. An activation means is movable between an operative mode and an inoperative mode in which the outlet is effectively closed. A targeting mechanism movable on at least one independent control axis provided for selectively orienting the outlet orifice and thereby orienting the control agent in the operative mode. A first sensing system, a classification system, a control system in accordance with a predetermined control logic adapted to deliver doses of the control agent to the identified targets for the purposes of the environmental control function.",UNIV SYDNEY,CALLEIJA MARK;;SUKKARIEH SALAH,THE UNIVERSITY OF SYDNEY (2018-01-22);;AGERRIS PTY LTD (2021-06-03),Granted Patent,A01M7/006;;A01M7/0089;;A01M21/043;;A62C37/40;;A01G25/09;;B64D1/18;;B64C39/024;;B64D47/08;;A01B79/005;;B64U2101/30;;B64U2101/00;;A01M7/006;;A01M7/0089;;A01M21/043;;A62C37/40;;A01G25/09;;B64D1/18;;B64C39/024;;B64D47/08;;B64U2101/00;;B64U2101/30;;A01B79/005,A01B79/00;;A01G25/09;;A01M7/00;;A01M21/04;;A62C37/40;;B64C39/02;;B64D1/18;;B64D47/08,ACTIVE,,,,
US,3/15/2018,2018,US 201715701347 A,"SYSTEMS FOR ADJUSTING AGRONOMIC INPUTS USING REMOTE SENSING, AND RELATED APPARATUS AND METHODS","Methods, systems, and apparatus, including computer programs encoded on computer storage media for using remote sensing data to infer agronomic inputs to an agronomic simulation model.",CIBO TECH INC,RICHT RYAN,CIBO TECHNOLOGIES INC (2018-09-18),Patent Application,G06Q10/063;;G06Q10/067;;G06Q50/02;;A01B79/005;;G06Q10/063;;G06Q10/067;;G06F30/20;;G06V20/188;;G06Q50/02;;G06T11/206;;G06T2207/10032;;G06T2207/30188,G06F17/50;;G06Q50/02;;G06K9/00;;G06T11/20,ACTIVE,,,,
US,12/21/2017,2017,US 201515534775 A,AUTOMATIC TARGET RECOGNITION AND DISPENSING SYSTEM,"An automated apparatus, method and system for projecting a control agent toward a recognised target for the purposes of agricultural cultivation or environmental management or various other applications; a source of the control agent adapted for use in connection with an environmental control function, an outlet incorporating at least one outlet orifice to direct the control agent emanating from the outlet orifice toward a target. An activation means is movable between an operative mode and an inoperative mode in which the outlet is effectively closed. A targeting mechanism movable on at least one independent control axis provided for selectively orienting the outlet orifice and thereby orienting the control agent in the operative mode. A first sensing system, a classification system, a control system in accordance with a predetermined control logic adapted to deliver doses of the control agent to the identified targets for the purposes of the environmental control function.",UNIV SYDNEY,CALLEIJA MARK;;SUKKARIEH SALAH,THE UNIVERSITY OF SYDNEY (2018-01-22);;AGERRIS PTY LTD (2021-06-03),Patent Application,A01M7/006;;A01M7/0089;;A01M21/043;;A62C37/40;;A01G25/09;;B64D1/18;;B64C39/024;;B64D47/08;;A01B79/005;;B64U2101/30;;B64U2101/00;;A01M7/006;;A01M7/0089;;A01M21/043;;A62C37/40;;A01G25/09;;B64D1/18;;B64C39/024;;B64D47/08;;B64U2101/00;;B64U2101/30;;A01B79/005,A01B79/00;;A01M7/00;;A01M21/04,ACTIVE,,,,
US,9/5/2013,2013,US 201313740780 A,Method and System for Identifying Management Zones for Variable-Rate Crop Inputs,"A method and system for identifying management zones for variable-rate crop inputs, wherein the zones are developed using soil, water and topography base maps. The base maps are combined into various different zone maps, and a final zone map is selected on the basis of observed field characteristics.",PHANTOM AG LTD,WILLNESS CORWYN,PHANTOM AG LTD. (2012-04-03),Patent Application,A01B79/005;;A01B79/005;;G06Q50/02;;G06Q50/02;;G06Q10/0631;;G06Q10/0631,G06Q50/02,DISCONTINUED,,,,
US,4/13/2023,2023,US 202218080411 A,SYSTEMS AND METHODS FOR OBTAINING LOCATION DATA,"Obtaining location data in a novel way is considered to be a part of this invention. An exemplary method for doing so includes identifying first positioning information for a data delivery vehicle based at least in part on a plurality of positioning signals received at the data delivery vehicle from a set of satellites of a global navigation satellite system (GNSS). The example method comprises obtaining relative position information associated with a position vector from the data delivery vehicle to a remote vehicle, the remote vehicle being unable to receive the plurality of positioning signals from the set of satellites. The example method comprises determining second positioning information for the remote vehicle based at least in part on the first positioning information and the relative position information. The example method comprises transmitting the second positioning information to the remote vehicle.",CHIOCCOLI LLC,CHIOCCO GREGORY DANIEL;;BROGIOLI MICHAEL,,Patent Application,A01D41/127;;G06Q10/06315;;G06Q50/02;;G06V20/17;;H04L67/12;;G06V20/56;;G05D1/0282;;G05D1/102;;H04L67/59;;B64U2101/20;;B64U2201/104;;B64U2101/30;;B64U80/86;;G05D1/104;;G05D2201/0207;;B64C39/024;;B64U2101/00,G05D1/10;;B64C39/02,PENDING,,,,
